guid,Section,Category,Mechanism,title,FOA Number,Content,Application Receipt Date,Application Receipt Date - Other,Expiration Date,Highlighted,Default,published
1,Selected NCI Opportunities,Training/Education/Conference Support,R25,NIH Big Data to Knowledge (BD2K) Enhancing Diversity in Biomedical Data Science (R25),RFA-MD-15-005,,7-Apr-15,,8-Apr-15,0,0,1
2,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,UH2/UH3,BRAIN Initiative: Next-Generation Invasive Devices for Recording and Modulation in the Human Central Nervous System (UH2/UH3),RFA-NS-15-006,,14-Apr-15,,15-Apr-15,0,0,1
3,Selected NIH Opportunities ,Cooperative Agreements; Research Projects,UH3,BRAIN Initiative: Clinical Studies to Advance Next-Generation Invasive Devices for Recording and Modulation in the Human Central Nervous System (UH3),RFA-NS-15-008,,14-Apr-15,,15-Apr-15,0,0,1
4,Selected NIH Opportunities ,Research Projects,R21,Brain Initiative: New Concepts and Early-Stage Research for Large-Scale Recording and Modulation in the Nervous System (R21),RFA-EY-15-001,,16-Apr-15,,17-Apr-15,0,0,1
5,Selected NCI Opportunities,Research Projects; Cooperative Agreements; Research Program Projects & Centers,Admin Supp,Supplements to Support Interoperability of NIH Funded Biomedical Data Repositories (Admin Supp),PA-15-144,,,"Multiple dates, see announcement",21-Apr-15,0,0,1
6,Non-NIH Opportunities ,Research Projects,Other,Cyber-Physical Systems  (CPS),NOT-EB-15-003,,,,5-May-15,0,0,1
7,Selected NCI Opportunities,SBIR/STTR; Parent Announcements; Research Projects,R41/42,PHS 2014-02 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42]),PA-14-072,,,Standard dates apply.,8-May-15,0,0,1
8,Selected NCI Opportunities,SBIR/STTR; Parent Announcements; Research Projects,R43/44,"PHS 2014-02 Omnibus Solicitation of the NIH, CDC, FDA and ACF for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44])",PA-14-071,,,Standard dates apply.,8-May-15,0,0,1
9,Selected NCI-Led Opportunities,Research Projects,R01,Translational Research at the Aging/Cancer Interface (TRACI) (R01),PA-12-136,,,Standard dates apply.,8-May-15,0,0,1
10,Selected NCI-Led Opportunities,Research Projects,R21,Translational Research at the Aging/Cancer Interface (TRACI) (R21),PA-12-135,,,Standard dates apply.,8-May-15,0,0,1
11,Selected NCI-Led Opportunities,SBIR/STTR; Research Projects,R44,"SBIR Phase IIB Bridge Awards to Accelerate the Development of Cancer Therapeutics, Imaging Technologies, Interventional Devices, Diagnostics and Prognostics Toward Commercialization (R44)",RFA-CA-15-010,,13-May-15,,14-May-15,0,0,1
12,Selected NIH Opportunities ,Research Projects,R35,Maximizing Investigators Research Award (R35),RFA-GM-16-002,,20-May-15,,21-May-15,0,0,1
13,Selected NIH Opportunities ,Research Projects,S10,Shared Instrumentation Grant (SIG) Program (S10),PAR-15-088,,29-May-15,,30-May-15,0,0,1
14,Selected NIH Opportunities ,Research Projects,S10,High-End Instrumentation (HEI) Grant Program (S10),PAR-15-118,,29-May-15,,30-May-15,0,0,1
15,Selected NIH Opportunities ,Training/Education/Conference Support,R25,Summer Institute for Research Education in Biostatistics (R25),RFA-HL-16-017,,1-Jun-15,,2-Jun-15,0,0,1
16,Selected NCI Opportunities,Cooperative Agreements; Research Projects,UH2,Big Data to Knowledge (BD2K) Advancing Biomedical Science Using Crowdsourcing and Interactive Digital Media (UH2),RFA-CA-15-006,,3-Jun-15,,4-Jun-15,0,0,1
17,Selected NCI-Led Opportunities,Non-Grant Research Support,Other,NCI Experimental Therapeutics (NExT) Program,,http://next.cancer.gov/?utm_source=WhatCounts+Publicaster+Edition&utm_medium=email&utm_campaign=Move+Your+Technology+to+Clinical+Testing+with+Help+from+NIH+Resources+&utm_content=NExT,"October 15, 2014; February 15, 2015; June 15, 2015",,16-Jun-15,0,0,1
18,Selected NCI-Led Opportunities,Research Program Projects & Centers,P01,Revisions for Early-Stage Development of Informatics Technology (P01),PAR-12-290,,"November 18, 2014; June 18, 2015",,19-Jun-15,0,0,1
19,Selected NCI-Led Opportunities,Research Projects,R01,Revisions for Early-Stage Development of Informatics Technology (R01),PAR-12-286,,"November 18, 2014; June 18, 2015",,19-Jun-15,0,0,1
